dataset,model,accuracy,precision,recall,f1_score,roc_auc,avg_precision
Bank Marketing,Random Forest,0.8402006449301326,0.7979591836734694,0.8872919818456884,0.8402578796561605,0.9132165613295036,0.8841337311175661
Bank Marketing,Logistic Regression,0.8341096381225367,0.8241509433962264,0.8260211800302572,0.8250850018889309,0.9096388395988092,0.8700472575935235
Bank Marketing,Decision Tree,0.8255105696882837,0.8031953522149601,0.8366111951588502,0.8195628010374213,0.8667553544817814,0.814161865414437
Credit Card Fraud,Random Forest,0.9950942421895171,0.9905660377358491,0.8536585365853658,0.9170305676855895,0.9776845528455285,0.9199366223398114
Credit Card Fraud,Decision Tree,0.9863155176865479,0.7777777777777778,0.7967479674796748,0.7871485943775101,0.8963663956639567,0.7193524784472407
Credit Card Fraud,Logistic Regression,0.9762458042860831,0.581151832460733,0.9024390243902439,0.7070063694267515,0.988179945799458,0.9233062678787499
